sample_id,video_id,original_url,description,video_url,tags,total_comments,sample_comment_username,sample_comment_nickname,sample_comment_text,sample_comment_date,sample_comment_likes,sample_comment_replies
1,7445983882614230294,https://www.tiktok.com/@lancome.official/video/7445983882614230294,,https://m.tiktok.com/v/7445983882614230294.html?_d=0&comment_author_id=6795075830776808454&preview_pb=0&share_comment_id=7447569326231405358&share_item_id=7445983882614230294&sharer_language=en&source=h5_m&u_code=0,,50,croncali1993,Christine Roncali,lancome is my go to for the very best skin imaginable,2024-12-12T17:53:07,0,0
2,7446758706051583254,https://www.tiktok.com/@lancome.official/video/7446758706051583254,The Lancôme art of gifting in action ⭐️ #Lancome #Holiday #Christmastok #HolidayShopping #Shopping #...,https://m.tiktok.com/v/7446758706051583254.html?_d=0&comment_author_id=7358512444258386949&preview_pb=0&share_comment_id=7447097190725993221&share_item_id=7446758706051583254&sharer_language=en&source=h5_m&u_code=0,#Lancome|#Holiday|#Christmastok|#HolidayShopping|#Shopping|#Christmaswishlist|#Christmashaul|#Haul|#Skincare|#Makeup|#Beauty|#Gift|#Satisfying|#Asmr,46,llife.w.lola,Lola🪩🐆,🤩🤩,2024-12-11T11:20:58,0,0
3,7447186726054792470,https://www.tiktok.com/@lancome.official/video/7447186726054792470,DIAMOND SNOW on @DANIELLE ❄️💎 Let's get messy. Illuminate your eyes with the limited edition Celesti...,https://m.tiktok.com/v/7447186726054792470.html?_d=0&comment_author_id=6772236260473291782&preview_pb=0&share_comment_id=7447289375446565663&share_item_id=7447186726054792470&sharer_language=en&source=h5_m&u_code=0,#MESSWITHLANCOME|#Lancome|#DanielleMarcan|#TimeToGetMessy|#Makeup|#Makeuptok|#Beauty|#BeautyTok|#DiamondSnow|#HolidayLook|#HolidayMakeup|#Christmastok|#Christmaswishlist|#Holiday|#CelestialRosePalette,49,angelabell98,Angela,PLEASE BRING BACK GRANDIOSE EXTREME MASCARA!! I haven’t been the same since,2024-12-11T23:46:32,0,1
4,7447475021439618326,https://www.tiktok.com/@lancome.official/video/7447475021439618326,Yours looks better. Switch?🤗💗 📍Café de la Rose Lancôme #Lancome #Cafedelarose #Paris #Cake #Sweet #B...,https://m.tiktok.com/v/7447475021439618326.html?_d=0&comment_author_id=6652764297023963142&preview_pb=0&share_comment_id=7447497733261230880&share_item_id=7447475021439618326&sharer_language=en&source=h5_m&u_code=0,#Lancome|#Cafedelarose|#Paris|#Cake|#Sweet|#BeautyTok|#Coffee|#Coffeetok|#Pink|#Rose|#Yummy|#Food|#Girlhood|#Relatable,23,naomisnews,Naomi Sanders 🏴󠁧󠁢󠁷󠁬󠁳󠁿,"It’s been a long time since I had a Lancôme gloss (they literally got me through school), I might need to treat myself soon",2024-12-12T13:15:22,0,1
5,7447959371885120790,https://www.tiktok.com/@lancome.official/video/7447959371885120790,The trendy accessory of the moment is right here! 🗝️ #Lancome #Juicy #JuicyTubes #BeautyTok #Makeupt...,https://m.tiktok.com/v/7447959371885120790.html?_d=0&comment_author_id=6707433102833468422&preview_pb=0&share_comment_id=7448200137581282090&share_item_id=7447959371885120790&sharer_language=en&source=h5_m&u_code=0,#Lancome|#Juicy|#JuicyTubes|#BeautyTok|#Makeuptok|#Lipsticktok|#Gloss|#Lipstick|#wishlist|#Satisfying|#Lipgloss|#holidayshopping,34,its.dokkaebi,𝒅𝒐𝒌𝒌𝒂𝒆𝒃𝒊 ✦,omg maybe I should make custom charms for mine,2024-12-14T10:42:29,0,1
6,7448206709941701910,https://www.tiktok.com/@lancome.official/video/7448206709941701910,"IT’S HERE✨ Meet the limited-edition Celestial Rose holiday palette, created by @Lisa Eldridge, worn ...",https://m.tiktok.com/v/7448206709941701910.html?_d=0&comment_author_id=7288080323589014571&preview_pb=0&share_comment_id=7456939117772768042&share_item_id=7448206709941701910&sharer_language=en&source=h5_m&u_code=0,#NicoParker.|#Lancome|#LisaEldridge|#Makeup|#Makeuptok|#HolidayMakeup|#HolidayPalette|#EyeLook|#Beauty|#Makeuptok|#BeautyTok|#Eyeshadow|#Glow|#GlowingMakeup|#Christmastok|#Christmaswishlist|#ChristmasMakeup,13,lowkey.zzzz,lowkey.zzzz,Okay so I’m obbessed 😍,2025-01-06T23:52:36,0,2
7,7448708800409914646,https://www.tiktok.com/@lancome.official/video/7448708800409914646,Which one? 🥰 #Lancome #LipIdole #Lips #BeautyTok #Makeuptok #Lipsticktok #Gloss #Lipstick #wishlist ...,https://m.tiktok.com/v/7448708800409914646.html?_d=0&comment_author_id=7328525850574570528&preview_pb=0&share_comment_id=7448709535374852896&share_item_id=7448708800409914646&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LipIdole|#Lips|#BeautyTok|#Makeuptok|#Lipsticktok|#Gloss|#Lipstick|#wishlist|#Satisfying|#Swatch|#Justagirl,20,nonchalnetgirl,M.O,First,2024-12-15T19:37:43,0,1
8,7449029221533502742,https://www.tiktok.com/@lancome.official/video/7449029221533502742,Minimalist Gen Z shooting underway✨ #Lancome #BeautyTok #Makeuptok #Lipsticktok #Light #GenZ #Takeap...,https://m.tiktok.com/v/7449029221533502742.html?_d=0&comment_author_id=83336646439346176&preview_pb=0&share_comment_id=7449031109126783777&share_item_id=7449029221533502742&sharer_language=en&source=h5_m&u_code=0,#Lancome|#BeautyTok|#Makeuptok|#Lipsticktok|#Light|#GenZ|#Takeaphoto|#MillenialsxGenz|#Instagramstories|#Lipstick|#wishlist|#Satisfying|#lowexposure,15,nia_gall,Nia Gallagher,Yes brightness down 👏😂😭,2024-12-16T16:25:32,0,0
9,7449344080779185430,https://www.tiktok.com/@lancome.official/video/7449344080779185430,Swipe on our new L’Absolu Rouge Drama Matte lipstick. Are you team red or pink? 💄 @Olivia Rodrigo  #...,https://m.tiktok.com/v/7449344080779185430.html?_d=0&comment_author_id=7403323288175412256&preview_pb=0&share_comment_id=7449382927148909344&share_item_id=7449344080779185430&sharer_language=en&source=h5_m&u_code=0,#Lancome|#OliviaxLancome|#OliviaRodrigo|#LAbsoluRougeDramaMatte|#Lipstick|#Makeup|#lipsticktok|#beautytiktok|#makeuplook|#Lips|#Lipslook|#Red|#Pink,83,ainnixxta,Ainhoa,Olivia Rodrigo item=me here to buy 5 of them,2024-12-17T15:10:50,0,1
10,7449696958588964118,https://www.tiktok.com/@lancome.official/video/7449696958588964118,We just want to get her back!✨ @Olivia Rodrigo  #Lancome #OliviaxLancome #OliviaRodrigo #LAbsoluRoug...,https://m.tiktok.com/v/7449696958588964118.html?_d=0&comment_author_id=6980459465104049158&preview_pb=0&share_comment_id=7449746557916676866&share_item_id=7449696958588964118&sharer_language=en&source=h5_m&u_code=0,#Lancome|#OliviaxLancome|#OliviaRodrigo|#LAbsoluRougeDramaMatte|#Lipstick|#Makeup|#lipsticktok|#beautytiktok|#makeuplook|#Lips|#Lipslook|#Red|#Pink,1354,soph_berry808,Sophia,guys I think she tried every lipstick In every colour,2024-12-18T14:41:52,0,10
11,7450064424888503574,https://www.tiktok.com/@lancome.official/video/7450064424888503574,We’re officially hypnotized ❤️ #Lancome #ASMR #Texture #3DArt #Artistic #Makeup #Beauty #Beautytikto...,https://m.tiktok.com/v/7450064424888503574.html?_d=0&comment_author_id=7347390857471525893&preview_pb=0&share_comment_id=7450065813057274630&share_item_id=7450064424888503574&sharer_language=en&source=h5_m&u_code=0,#Lancome|#ASMR|#Texture|#3DArt|#Artistic|#Makeup|#Beauty|#Beautytiktok,22,primerashabs,Primeraaaa,"okay guys , this is marketing",2024-12-19T11:20:54,0,0
12,7450494025422933270,https://www.tiktok.com/@lancome.official/video/7450494025422933270,The texture: dramatically matte. The product: L’Absolu Rouge Drama Matte. #Lancome #LAbsoluRougeDram...,https://m.tiktok.com/v/7450494025422933270.html?_d=0&comment_author_id=7419770742470034465&preview_pb=0&share_comment_id=7479852935561528086&share_item_id=7450494025422933270&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LAbsoluRougeDramaMatte|#MatteLipstick|#Lipstick|#ASMR|#Texture|#3DArt|#Artistic|#Makeup|#Beauty|#Beautytiktok,31,xxx._.daisy._xxx,xxx._.daisy._xxx,Commenting to stay on sample tok🙏💓,2025-03-09T16:49:47,0,0
13,7450803288414407958,https://www.tiktok.com/@lancome.official/video/7450803288414407958,"It’s not just a lipstick, it’s everything✨ #Lancome #LAbsoluRougeDramaMatte #MatteLipstick #Lipstick...",https://m.tiktok.com/v/7450803288414407958.html?_d=0&comment_author_id=6761812809862628357&preview_pb=0&share_comment_id=7483643471920775958&share_item_id=7450803288414407958&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LAbsoluRougeDramaMatte|#MatteLipstick|#Lipstick|#ASMR|#Texture|#Artistic|#Makeup|#Beauty|#Beautytiktok|#Holiday24|#Christmastok|#Christmaswishlist|#ChristmasMakeup,23,katrinacooper462,katrinacooper462,Looks nice,2025-03-19T21:58:57,0,0
14,7450897649214983446,https://www.tiktok.com/@lancome.official/video/7450897649214983446,The Christmas lip combo you didn’t know you needed❤️ #Lancome #Lipcombo #AbsoluRougeDramaMatte #Shee...,https://m.tiktok.com/v/7450897649214983446.html?_d=0&comment_author_id=6891853252527457286&preview_pb=0&share_comment_id=7456610262365897490&share_item_id=7450897649214983446&sharer_language=en&source=h5_m&u_code=0,#Lancome|#Lipcombo|#AbsoluRougeDramaMatte|#SheerGloss|#Gloss|#LipGloss|#Holiday24|#Makeup|#Beauty|#Makeuptok|#BeautyTok|#Christmastok|#Christmaswishlist|#ChristmasMakeup,18,spicy.pisces.liv,𝙊𝙡𝙞𝙫𝙞𝙖𝙡𝙪𝙫𝙫_𝙧,i need this i love this!!,2025-01-06T02:36:18,0,0
15,7451175045730225430,https://www.tiktok.com/@lancome.official/video/7451175045730225430,Ready to shine this holiday season?✨ #Lancome #EyeLook #Paletteunboxing #CelestialRosePalette #Holid...,https://m.tiktok.com/v/7451175045730225430.html?_d=0&comment_author_id=7437223095700849720&preview_pb=0&share_comment_id=7452833091146318597&share_item_id=7451175045730225430&sharer_language=en&source=h5_m&u_code=0,#Lancome|#EyeLook|#Paletteunboxing|#CelestialRosePalette|#Holiday24|#Makeup|#Beauty|#Makeuptok|#BeautyTok|#Christmastok|#Christmaswishlist|#ChristmasMakeup,21,oliviarodrigofanacount,Livie💜(spilled🪩),SO COOL🤩😌,2024-12-26T22:19:03,0,0
16,7451269524973686038,https://www.tiktok.com/@lancome.official/video/7451269524973686038,BURNT ROSE on @DANIELLE 🌹 It’s time to get messy. Light up the night in the Burnt Rose look featurin...,https://m.tiktok.com/v/7451269524973686038.html?_d=0&comment_author_id=7373992483959849991&preview_pb=0&share_comment_id=7453782678232695560&share_item_id=7451269524973686038&sharer_language=en&source=h5_m&u_code=0,#MESSWITHLANCOME|#Lancome|#DanielleMarcan|#TimeToGetMessy|#Makeup|#Makeuptok|#Beauty|#BeautyTok|#BurntRose|#HolidayLook|#HolidayMakeup|#CelestialRosePalette,17,cupstacking_4ever,cupstacking_4ever,omggg cutee💜,2024-12-29T11:43:48,0,0
17,7451643099509509398,https://www.tiktok.com/@lancome.official/video/7451643099509509398,Holiday lipstick sounds 🔉✨   #Lancome #LAbsoluRougeDramaMatte #MatteLipstick #Lipstick #ASMR #Textur...,https://m.tiktok.com/v/7451643099509509398.html?_d=0&comment_author_id=6761887923090490373&preview_pb=0&share_comment_id=7451648928074695429&share_item_id=7451643099509509398&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LAbsoluRougeDramaMatte|#MatteLipstick|#Lipstick|#ASMR|#Texture|#Artistic|#Makeup|#Beauty|#Beautytiktok|#Holiday24|#Christmastok|#Christmaswishlist|#ChristmasMakeup,49,mayrukix,mayrukix,Obsessed too,2024-12-23T17:44:01,0,0
18,7453401383883066646,https://www.tiktok.com/@lancome.official/video/7453401383883066646,Did you say dramatic night out look?💄 Our electric @Olivia Rodrigo is wearing L’Absolu Rouge Drama M...,https://m.tiktok.com/v/7453401383883066646.html?_d=0&comment_author_id=6964774820693836801&preview_pb=0&share_comment_id=7453476633018663702&share_item_id=7453401383883066646&sharer_language=en&source=h5_m&u_code=0,#Lancome|#OliviaxLancome|#OliviaRodrigo|#Beauty|#Makeup|#Look|#Lips|#Fragrance|#BeautyTok|#MakeupTok|#Red|#Lipstick|#LipstickLook|#Red,258,lorealgroupe,lorealgroupe,obsessed is an understatement 😍,2024-12-28T15:56:14,0,2
19,7453773489040837910,https://www.tiktok.com/@lancome.official/video/7453773489040837910,So dramatic! Try our new L’Absolu Rouge Drama Matte lipstick shades with @Olivia Rodrigo 💗 #Lancome ...,https://m.tiktok.com/v/7453773489040837910.html?_d=0&comment_author_id=7047567760444376069&preview_pb=0&share_comment_id=7453799823180006177&share_item_id=7453773489040837910&sharer_language=en&source=h5_m&u_code=0,#Lancome|#OliviaxLancome|#OliviaRodrigo|#LAbsoluRougeDramaMatte|#Lipstick|#Makeup|#lipsticktok|#beautytiktok|#makeuplook|#Lips|#Lipslook|#Red|#Pink,906,rocio_nsqponer,➳༻❀✿❀༺➳,vienen con la modelo?? 🥰,2024-12-29T12:50:24,0,8
20,7454145700704701718,https://www.tiktok.com/@lancome.official/video/7454145700704701718,Ready to wear the drama? Go grab yours! @Olivia Rodrigo  #Lancome #OliviaxLancome #OliviaRodrigo #LA...,https://m.tiktok.com/v/7454145700704701718.html?_d=0&comment_author_id=6788487902416438278&preview_pb=0&share_comment_id=7454176731558806277&share_item_id=7454145700704701718&sharer_language=en&source=h5_m&u_code=0,#Lancome|#OliviaxLancome|#OliviaRodrigo|#LAbsoluRougeDramaMatte|#Lipstick|#Makeup|#lipsticktok|#beautytiktok|#makeuplook|#Lips|#Lipslook|#Red|#Pink,374,damnnnn.nn0,damnnnn.nn0,NEVER skipping an OLIVIA RODRIGO ad💜,2024-12-30T13:13:09,0,5
21,7454526184345341206,https://www.tiktok.com/@lancome.official/video/7454526184345341206,"With the new L’Absolu Rouge Drama Matte, every swipe is not just a color but a mood. ✨ #Lancome #Bea...",https://m.tiktok.com/v/7454526184345341206.html?_d=0&comment_author_id=6797440598255289349&preview_pb=0&share_comment_id=7454618499957228294&share_item_id=7454526184345341206&sharer_language=en&source=h5_m&u_code=0,#Lancome|#Beauty|#Makeup|#Look|#Lips|#BeautyTok|#MakeupTok|#Red|#Lipstick|#LipstickLook|#Matte,62,stressedoutbrowngirl,Ash,WHICH IS OLIVIA’S FAVOURITE???,2024-12-31T17:47:15,0,1
