Video ID,Original URL,Description,Total Comments,Tags
"7542448214708915478","https://www.tiktok.com/@lancome.official/video/7542448214708915478","Who needs a filter with lips like these? 💋 Soft blur, major impact with L'Absolu Rouge Intimatte! #Lancome #LAbsoluRougeIntimatte #Lipstick #Makeup #MatteLipstick      ","9","#Lancome #LAbsoluRougeIntimatte #Lipstick #Makeup #MatteLipstick"
"7542073140508200225","https://www.tiktok.com/@lancome.official/video/7542073140508200225","What’s your nude mood? 👀💋 Have fun with your L’Absolu Rouge Intimatte — the soft-blurred matte that feels like you, but bolder. #Lancome #LAbsoluRougeIntimatte #Lipstick #Makeup #MatteLipstick #MatteLip #SoftMatte #LipCombo #Makeuptiktok #BeautyTok #Beauty","21","#Lancome #LAbsoluRougeIntimatte #Lipstick #Makeup #MatteLipstick #MatteLip #SoftMatte #LipCombo #Makeuptiktok #BeautyTok #Beauty"
"7541704084970097942","https://www.tiktok.com/@lancome.official/video/7541704084970097942","","29",""
"7541331685640637718","https://www.tiktok.com/@lancome.official/video/7541331685640637718","French savoir-faire 🤍​ ​ #Lancome #pink #slowlife #peaceful #retreat ","30","#Lancome #pink #slowlife #peaceful #retreat"
"7541054302035447062","https://www.tiktok.com/@lancome.official/video/7541054302035447062","The collection you need!  #Lancome #Juicytreat #Juicy #Gloss #Lips ","56","#Lancome #Juicytreat #Juicy #Gloss #Lips"
"7540962408421166359","https://www.tiktok.com/@lancome.official/video/7540962408421166359","Nothing tops the perfect outfit like a JuicyTreat @chelseaasoflate 💋 #JuicyTreat #Lancome #LancomeMakeup #Juicy #Gloss     ","27","#JuicyTreat #Lancome #LancomeMakeup #Juicy #Gloss"
"7540679989721615638","https://www.tiktok.com/@lancome.official/video/7540679989721615638","Glowy. Silky. Weightless. Meet your skin’s new obsession: Skin Idôle 3 Serum. 😍✨ #Lancome #Makeup #Makeuptok #BeautyTok #MustHave     ","37","#Lancome #Makeup #Makeuptok #BeautyTok #MustHave"
"7540594128095120662","https://www.tiktok.com/@lancome.official/video/7540594128095120662","Sharing is caring @Audrey Peters🍒 & @Amelia Liana 😉  #JuicyTreat #Lancome #LancomeMakeup #Juicy #Gloss      ","24","#JuicyTreat #Lancome #LancomeMakeup #Juicy #Gloss"
"7540220209035087126","https://www.tiktok.com/@lancome.official/video/7540220209035087126","Good skin starts with great ingredients — and a little Lancôme touch. A bit of Skintint, boosted by skincare actives, goes a long way. 🍯💧 #Lancome #Makeup #Makeuptok #BeautyTok #MustHave     ","36","#Lancome #Makeup #Makeuptok #BeautyTok #MustHave"
"7539175134846782742","https://www.tiktok.com/@lancome.official/video/7539175134846782742","Stop by @From Lucie this weekend to indulge in La vie est belle Vanille Nude & savor an éclair inspired by the notes of the fragrance: glazed vanilla, jasmine and white musk. #nycpopup  #lancomefragrance #lavieestbelle  📍FROM LUCIE - 263 E 10th St, NY, NY 10009 🗓️ 8/15-8/17  ⏰ 11 AM - 7 PM Can't wait to see you there! Bisous!","211","#nycpopup #lancomefragrance #lavieestbelle"
"7538735942618664214","https://www.tiktok.com/@lancome.official/video/7538735942618664214","New La vie est belle adventure! ​ #Lancome #JuliaRoberts #Fragrance #Surprise #Smell   ","378","#Lancome #JuliaRoberts #Fragrance #Surprise #Smell"
"7538457058216037654","https://www.tiktok.com/@lancome.official/video/7538457058216037654","Behind the scenes of Joy Sunday’s full glam, featuring Teint Idole Ultra Wear Foundation and All Over Concealer, built to keep her flawless through an entire day of press.  Look by @Paulyblanch💄 ​ #Lancome #teintidoleultrawear #JoySunday #lancomemakeup #BeautyTok   ","133","#Lancome #teintidoleultrawear #JoySunday #lancomemakeup #BeautyTok"
"7538084595510545686","https://www.tiktok.com/@lancome.official/video/7538084595510545686","On its way 🤭 ​ #Lancome #Fragrance #Surprise #Smell #BeautyTok ","356","#Lancome #Fragrance #Surprise #Smell #BeautyTok"
"7537994095717813526","https://www.tiktok.com/@lancome.official/video/7537994095717813526","Special request for a special guest & #Lancome #Fragrance #Surprise #Smell #BeautyTok    ","115","#Lancome #Fragrance #Surprise #Smell #BeautyTok"
"7537715397223681282","https://www.tiktok.com/@lancome.official/video/7537715397223681282","It's hot to be lazy, and smart to wear SPF. Soak up the last month of summer with UV Expert Supra Screen SPF 50.☀️  #Lancome #UVExpert #Skincare #Sunscreen #Suncare    ","222","#Lancome #UVExpert #Skincare #Sunscreen #Suncare"
"7537667891332795670","https://www.tiktok.com/@lancome.official/video/7537667891332795670","A juicy surprise inside @Tao 😍😉  #JuicyTreat #Lancome #LancomeMakeup #Juicy #Gloss      ","148","#JuicyTreat #Lancome #LancomeMakeup #Juicy #Gloss"
"7537622720280792342","https://www.tiktok.com/@lancome.official/video/7537622720280792342","Small bottle, big glow ✨ Watch how Skin Idôle 3 Serum Supertint gets filled. #Lancome #Makeup #Makeuptok #BeautyTok #MustHave     ","60","#Lancome #Makeup #Makeuptok #BeautyTok #MustHave"
"7537256296970472726","https://www.tiktok.com/@lancome.official/video/7537256296970472726","Found peace in the Domaine De La Rose  🌅​ ​ #Lancome #pink #slowlife #peacefull #retreat #Cleangirl #nature #sound #sunset #Summer #ocean #SelfCare #slowmorning #serenity #Skincare #cosmetic #pilates ​","52","#Lancome #pink #slowlife #peacefull #retreat #Cleangirl #nature #sound #sunset #Summer #ocean #SelfCare #slowmorning #serenity #Skincare #cosmetic #pilates"
