sample_id,video_id,original_url,description,video_url,tags,total_comments,sample_comment_username,sample_comment_nickname,sample_comment_text,sample_comment_date,sample_comment_likes,sample_comment_replies
1,7408883747724004624,https://www.tiktok.com/@lancomemalaysia/video/7408883747724004624,,,,0,,,,,0,0
2,7408884334477856017,https://www.tiktok.com/@lancomemalaysia/video/7408884334477856017,,,,0,,,,,0,0
3,7408884940290493713,https://www.tiktok.com/@lancomemalaysia/video/7408884940290493713,,,,0,,,,,0,0
4,7409535472227110161,https://www.tiktok.com/@lancomemalaysia/video/7409535472227110161,The Ultimate skincare essential is coming very soon. #Lancome #LancomeMY #LancomeSkincare #Genifique...,https://m.tiktok.com/v/7409535472227110161.html?_d=0&comment_author_id=7380953434298057744&preview_pb=0&share_comment_id=7409611725102105364&share_item_id=7409535472227110161&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LancomeMY|#LancomeSkincare|#Genifique|#Skincare|#SkinTok,1,athena.wt.sun,Athena WT SUN,Wowowoow!!!! 🥰🥰🥰🥰,2024-09-01T10:57:51,0,0
5,7409895517662006544,https://www.tiktok.com/@lancomemalaysia/video/7409895517662006544,"Ready to repair, ready for refills. Make way for the all-new Génifique Ultimate. Follow Lancôme Mala...",https://m.tiktok.com/v/7409895517662006544.html?_d=0&comment_author_id=7280681328729981970&ec_shared_reflux_dynamic_params=%7B%22placeholder_material_id%22%3A%227409895517662006544%22%2C%22placeholder_origin_cover%22%3A%22https%253A%252F%252Fp16-common-sign-sg.tiktokcdn-us.com%252Ftos-alisg-p-0037%252Fe85d1f3e33a2426bbd5c335111aa1bf5_1725250838~tplv-tiktokx-origin.jpeg%253Fdr%253D9633%2526refresh_token%253D5554d605%2526x-expires%253D1787763600%2526x-signature%253DqELA2nWysl7AnQMGh3lO%25252B1f%25252Fh5E%25253D%2526t%253D4d5b0474%2526ps%253D13740610%2526shp%253Dd05b14bd%2526shcp%253D34ff8df6%2526idc%253Duseast5%2526s%253DTIKTOK_COMMENT_PLATFORM_AWEME%22%2C%22placeholder_product_id%22%3A%221729765684151223540%22%2C%22placeholder_video_id%22%3A%227409895517662006544%22%7D&ec_shared_reflux_scene=shop_tab_feed&preview_pb=0&share_comment_id=7411123597937148693&share_item_id=7409895517662006544&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LancomeMY|#LancomeSkincare|#Genifique|#Skincare|#SkinTok,197,mohd.hafiz473,Raihan Yayan,ok,2024-09-05T12:44:42,0,0
6,7409911833294949633,https://www.tiktok.com/@lancomemalaysia/video/7409911833294949633,,,,1,domi_long99,Wewem,Amazing 😁😁,2024-09-05T16:57:16,0,0
7,7410241510349802753,https://www.tiktok.com/@lancomemalaysia/video/7410241510349802753,,,,0,,,,,0,0
8,7410710951739084033,https://www.tiktok.com/@lancomemalaysia/video/7410710951739084033,,,,0,,,,,0,0
9,7410712240858467585,https://www.tiktok.com/@lancomemalaysia/video/7410712240858467585,,,,2,domi_long99,Wewem,Amazing 😁😁,2024-09-05T16:56:26,0,0
10,7411417332402179335,https://www.tiktok.com/@lancomemalaysia/video/7411417332402179335,,,,0,,,,,0,0
11,7411468660826443024,https://www.tiktok.com/@lancomemalaysia/video/7411468660826443024,,,,0,,,,,0,0
12,7411720371340053778,https://www.tiktok.com/@lancomemalaysia/video/7411720371340053778,,,,0,,,,,0,0
