sample_id,video_id,original_url,description,video_url,tags,total_comments,sample_comment_username,sample_comment_nickname,sample_comment_text,sample_comment_date,sample_comment_likes,sample_comment_replies
1,7375137042298146065,https://www.tiktok.com/@lancomethailand/video/7375137042298146065,,,,1,daffie985,Daffie,I can't unscrew the top?,2024-07-06T01:46:09,0,0
2,7377037571580316929,https://www.tiktok.com/@lancomethailand/video/7377037571580316929,มารักษ์โลกไปด้วยกัน เติมน้ำหอมรีฟิลเอวได้ง่ายๆ ✨ #น้ำหอม #lancome #รีฟิล ,https://m.tiktok.com/v/7377037571580316929.html?_d=0&comment_author_id=6783259020544934913&preview_pb=0&share_comment_id=7377354459938276112&share_item_id=7377037571580316929&sharer_language=en&source=h5_m&u_code=0,#น้ำหอม|#lancome|#รีฟิล,1,meandmybang,Me and my bang,เจ๋งมาก,2024-06-06T12:43:16,0,0
3,7381766647398354177,https://www.tiktok.com/@lancomethailand/video/7381766647398354177,,,,0,,,,,0,0
4,7382056505756929296,https://www.tiktok.com/@lancomethailand/video/7382056505756929296,,,,0,,,,,0,0
5,7386601082568428808,https://www.tiktok.com/@lancomethailand/video/7386601082568428808,Want a Scoop of Radiance? ✨ ชวนคุณมาสกูปผิว บูสต์ความชุ่มชื้น กระจ่างใสด้วยโปรแกรม  “Advanced Génifi...,https://m.tiktok.com/v/7386601082568428808.html?_d=0&comment_author_id=7324364472633656326&preview_pb=0&share_comment_id=7387321520593453825&share_item_id=7386601082568428808&sharer_language=en&source=h5_m&u_code=0,#ProRadianceBooster|#LancomeGenifique|#LancomeBeautyTech|#lancomethailand,20,namyin28,EasyHouseThing,หาอะไรสนุกๆคลายเครียดก็แวะมาดูได้นะ,2024-07-03T09:20:44,0,0
6,7392578691768864001,https://www.tiktok.com/@lancomethailand/video/7392578691768864001,,,,0,,,,,0,0
7,7393264749577800961,https://www.tiktok.com/@lancomethailand/video/7393264749577800961,,,,1,yeri_lee03,yeri_Lee03,lingorm live？🥺,2024-07-20T09:00:03,0,0
8,7396593376251874577,https://www.tiktok.com/@lancomethailand/video/7396593376251874577,,,,1,eithandaraung774,Ei Thandar Aung,No?,2024-09-06T09:12:24,0,0
9,7396955854848740624,https://www.tiktok.com/@lancomethailand/video/7396955854848740624,,,,0,,,,,0,0
10,7397334361722457361,https://www.tiktok.com/@lancomethailand/video/7397334361722457361,,,,0,,,,,0,0
11,7399932944770501904,https://www.tiktok.com/@lancomethailand/video/7399932944770501904,,,,0,,,,,0,0
12,7400353583796964609,https://www.tiktok.com/@lancomethailand/video/7400353583796964609,🖤 บอกลารองพื้นตัวเก่า แล้วหันมาใช้ TEINT IDOLE ULTRA WEAR FOUNDATION ด้วยนวัตกรรม ADVANCED AIRWEAR™ ...,https://m.tiktok.com/v/7400353583796964609.html?_d=0&comment_author_id=7241014802851185666&ec_shared_reflux_dynamic_params=%7B%22placeholder_material_id%22%3A%227400353583796964609%22%2C%22placeholder_origin_cover%22%3A%22https%253A%252F%252Fp19-common-sign-sg.tiktokcdn-us.com%252Ftos-alisg-p-0037%252F88f1c5149f58420394b0956b99749aeb_1723029096~tplv-tiktokx-origin.jpeg%253Fdr%253D9633%2526refresh_token%253De1be3dce%2526x-expires%253D1787763600%2526x-signature%253DKuYUyXgrGXLFq1s23j4BqQ05DJw%25253D%2526t%253D4d5b0474%2526ps%253D13740610%2526shp%253Dd05b14bd%2526shcp%253D34ff8df6%2526idc%253Duseast5%2526s%253DTIKTOK_COMMENT_PLATFORM_AWEME%22%2C%22placeholder_product_id%22%3A%221730427947160210258%22%2C%22placeholder_video_id%22%3A%227400353583796964609%22%7D&ec_shared_reflux_scene=shop_tab_feed&preview_pb=0&share_comment_id=7469050422071722759&share_item_id=7400353583796964609&sharer_language=en&source=h5_m&u_code=0,#LancomeThailand|#Lancome|#TeintIdole|#Makeup|#รองพื้นงานผิว|#รีวิวบิวตี้|#รองพื้นคุมมัน|#รองพื้นลังโคม|#TikTokShop88TH|#88ดีลลดเดือด,1,rasa.gront,Rasa Gront,😳,2025-02-08T15:10:33,0,0
13,7400624363004874001,https://www.tiktok.com/@lancomethailand/video/7400624363004874001,,,,0,,,,,0,0
14,7401164279136668929,https://www.tiktok.com/@lancomethailand/video/7401164279136668929,,,,1,titaree66,ฐิตารีย์,เพิ่งซื้อมาวันนี้เลยจ้า,2024-12-09T19:28:43,0,1
15,7401770515771297025,https://www.tiktok.com/@lancomethailand/video/7401770515771297025,,,,0,,,,,0,0
16,7403004018240261382,https://www.tiktok.com/@lancomethailand/video/7403004018240261382,,,,2,ellemm1149,Elle MM,@Katoon ขนาดนี้,2024-09-16T06:29:42,0,0
17,7404786418255482128,https://www.tiktok.com/@lancomethailand/video/7404786418255482128,,,,0,,,,,0,0
18,7404900097470893328,https://www.tiktok.com/@lancomethailand/video/7404900097470893328,,,,2,3804i,ต่ายรุ่น38,ราคา,2024-09-05T01:30:34,0,2
19,7406242283915398401,https://www.tiktok.com/@lancomethailand/video/7406242283915398401,🤩Coming soon! @Billkin Entertainment กับ Génifique Ultimate Serum เซรั่มเพื่อขีดสุดแห่งการฟื้นฟูผิว ...,https://m.tiktok.com/v/7406242283915398401.html?_d=0&comment_author_id=7152454118462768129&preview_pb=0&share_comment_id=7406437520336667408&share_item_id=7406242283915398401&sharer_language=en&source=h5_m&u_code=0,#lancome|#lancomethailand|#billkin|#skincare|#fyp|#genifiqueultimate|#betaglucans|#turnoffผิวagedกับultimateserum,69,icedamericaiiino,cai,Billkin is so handsome 😭,2024-08-23T21:40:29,0,0
20,7406961524717260049,https://www.tiktok.com/@lancomethailand/video/7406961524717260049,,,,0,,,,,0,0
21,7407485495829155088,https://www.tiktok.com/@lancomethailand/video/7407485495829155088,,,,1,nattikan_260143,플라이파🧚💐💙🤍,💙,2024-12-21T09:05:30,0,0
22,7408126317406817553,https://www.tiktok.com/@lancomethailand/video/7408126317406817553,,,,13,jajadliz,jajadliz,กลิ่นนี้หอมมมากกกค่ะ😍😍😍,2024-08-28T11:17:17,0,0
23,7408404153216683280,https://www.tiktok.com/@lancomethailand/video/7408404153216683280,,,,8,phatcharin_9496k,น้องกุ้งมหารวย2,ขาวเหลืองเบอร์อะไรคะ,2024-09-24T03:26:52,0,0
24,7408421796619341072,https://www.tiktok.com/@lancomethailand/video/7408421796619341072,มาทดสอบความบางเบาหายใจได้กับ รองพื้น Teint Idole Ultra Wear ของลังโคมกัน👀 ด้วยนวัตกรรม Advanced Airw...,https://m.tiktok.com/v/7408421796619341072.html?_d=0&comment_author_id=6991275572865303554&preview_pb=0&share_comment_id=7410988406044541714&share_item_id=7408421796619341072&sharer_language=en&source=h5_m&u_code=0,#lancome|#lancomethailand|#teintidoleultrawear|#รองพื้นlancome|#รองพื้นคุมมัน|#รองพื้นกันน้ํา|#รีวิวบิวตี้|#foundation|#foundationchallenge,2,areelat28,อาม่าของกิ๋นเมือง,😏😏😏😏😏,2024-09-05T04:00:09,0,0
25,7409983074240417040,https://www.tiktok.com/@lancomethailand/video/7409983074240417040,⏳3 days to go! พร้อมหรือยังกับ GÉNIFIQUE ULTIMATE SERUM  ตัวใหม่ พร้อมขายในอีก 3 วัน ✨รอสัมผัสปฏิวัต...,https://m.tiktok.com/v/7409983074240417040.html?_d=0&comment_author_id=7323226025927164934&preview_pb=0&share_comment_id=7410059916683117318&share_item_id=7409983074240417040&sharer_language=en&source=h5_m&u_code=0,#TurnOffผิวAgedกับUltimateSerum|#GenifiqueUltimate|#BetaGlucans|#LancomeGenifique|#LancomeThailand|#Skintok|#tiktokป้ายยา|#tiktokบิวตี้|#skincareroutine|#TiktokShopThailand,7,songxiaoxiao0,songxiaoxiao0,外国人怎么购买,2024-09-02T15:57:06,0,0
26,7410327309842025746,https://www.tiktok.com/@lancomethailand/video/7410327309842025746,🚀Ready to take off with captain @Billkin Entertainment สู่อนาคตผิวที่อ่อนเยาว์ไปกับ Genifique Ultima...,https://m.tiktok.com/v/7410327309842025746.html?_d=0&comment_author_id=7009911636426392577&preview_pb=0&share_comment_id=7410708908648317716&share_item_id=7410327309842025746&sharer_language=en&source=h5_m&u_code=0,#TurnOffผิวAgedกับUltimateSerum|#GenifiqueUltimate|#BetaGlucans|#LancomeGenifique|#LancomeThailand|#Skintok|#tiktokป้ายยา|#tiktokบิวตี้|#skincareroutine|#TiktokShopThailand,55,amsieutock,ha ri bô,mê cái accent của ảnh😭😭✨✨🤲🏻🤲🏻🫶🏻,2024-09-04T09:55:31,0,0
27,7410706035666734354,https://www.tiktok.com/@lancomethailand/video/7410706035666734354,,,,2,akomasasing,akomasasing,lancome absolue fondante soft cream ราคาเท่าไหร่คับ,2024-09-06T14:52:19,0,0
28,7411113292371889416,https://www.tiktok.com/@lancomethailand/video/7411113292371889416,,,,0,,,,,0,0
