sample_id,video_id,original_url,description,video_url,tags,total_comments,sample_comment_username,sample_comment_nickname,sample_comment_text,sample_comment_date,sample_comment_likes,sample_comment_replies
1,7390214765878070535,https://www.tiktok.com/@lancome_vietnam/video/7390214765878070535,,,,0,,,,,0,0
2,7391075172008135944,https://www.tiktok.com/@lancome_vietnam/video/7391075172008135944,Tận hưởng tuyệt tác nước hoa lan toả hạnh phúc - La vie est belle 💓 #lancomevietnam #fragrance #lavi...,https://m.tiktok.com/v/7391075172008135944.html?_d=0&comment_author_id=6988750290423251970&ec_shared_reflux_dynamic_params=%7B%22placeholder_material_id%22%3A%227391075172008135944%22%2C%22placeholder_origin_cover%22%3A%22https%253A%252F%252Fp16-common-sign-sg.tiktokcdn-us.com%252Ftos-alisg-p-0037%252F866c8bc2b1f543a2919329339b927008_1720868796~tplv-tiktokx-origin.jpeg%253Fdr%253D9633%2526refresh_token%253D8e72f3b8%2526x-expires%253D1787738400%2526x-signature%253DDUcGZgj97gTB4HeUHLLZQOlg2tQ%25253D%2526t%253D4d5b0474%2526ps%253D13740610%2526shp%253Dd05b14bd%2526shcp%253D34ff8df6%2526idc%253Duseast5%2526s%253DTIKTOK_COMMENT_PLATFORM_AWEME%22%2C%22placeholder_product_id%22%3A%221730291597482166994%22%2C%22placeholder_video_id%22%3A%227391075172008135944%22%7D&ec_shared_reflux_scene=shop_tab_feed&preview_pb=0&share_comment_id=7405093803885298433&share_item_id=7391075172008135944&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#fragrance|#lavieestbelle,2,hoahongcogai088,Hoa Hồng Có Gai 🌹,Bao nhiêu tiền một chai sop nhỉ,2024-08-20T06:46:01,0,1
3,7391515968867945735,https://www.tiktok.com/@lancome_vietnam/video/7391515968867945735,"Nước hoa đầy tính nữ mang thương hiệu Lancôme được những Đại sứ toàn cầu và nhiều phụ nữ yêu thích, ...",https://m.tiktok.com/v/7391515968867945735.html?_d=0&comment_author_id=7410220617363997712&preview_pb=0&share_comment_id=7430058520223826689&share_item_id=7391515968867945735&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#fragrance|#lavieestbelle,1,thanhhakhmer84h1,Ha Thanh,cho em xin giá chai này,2024-10-26T13:21:54,0,0
4,7391751298820967688,https://www.tiktok.com/@lancome_vietnam/video/7391751298820967688,Lancome tự hào là thương hiệu tiên phong công nghệ cao về phát triển bền vững nguồn nguyên liệu chiế...,https://m.tiktok.com/v/7391751298820967688.html?_d=0&comment_author_id=7252803391390614555&preview_pb=0&share_comment_id=7406746051385017120&share_item_id=7391751298820967688&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#lavieestbelle|#Sustainability|#fragrance,4,jasminelillian1,Jas 𖣂︎,Ooooo,2024-08-24T17:37:42,0,0
5,7392949092537650439,https://www.tiktok.com/@lancome_vietnam/video/7392949092537650439,"Nếu bạn đang tìm kiếm loại kem nền không dễ bị xuống tông, bền màu trên da và nhất là phải có độ che...",https://m.tiktok.com/v/7392949092537650439.html?_d=0&comment_author_id=7229209960449623042&ec_shared_reflux_dynamic_params=%7B%22placeholder_material_id%22%3A%227392949092537650439%22%2C%22placeholder_origin_cover%22%3A%22https%253A%252F%252Fp16-common-sign-sg.tiktokcdn-us.com%252Ftos-alisg-p-0037%252F10ad32f8dc244c3d93698fa92c22ed57_1721305101~tplv-tiktokx-origin.jpeg%253Fdr%253D9633%2526refresh_token%253D35a3cce6%2526x-expires%253D1787738400%2526x-signature%253DUfUMYTGq7%25252BJ7uraQ8BD6dNe%25252BpK8%25253D%2526t%253D4d5b0474%2526ps%253D13740610%2526shp%253Dd05b14bd%2526shcp%253D34ff8df6%2526idc%253Duseast5%2526s%253DTIKTOK_COMMENT_PLATFORM_AWEME%22%2C%22placeholder_product_id%22%3A%221730286581105330898%22%2C%22placeholder_video_id%22%3A%227392949092537650439%22%7D&ec_shared_reflux_scene=shop_tab_feed&preview_pb=0&share_comment_id=7394702358514860817&share_item_id=7392949092537650439&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#makeup|#teintidoleultrawear|#foundation,1,mt.t.frend,Love You,Xin giá ạ,2024-07-23T06:42:16,0,1
6,7394435858327194888,https://www.tiktok.com/@lancome_vietnam/video/7394435858327194888,,,,0,,,,,0,0
7,7395448059947240711,https://www.tiktok.com/@lancome_vietnam/video/7395448059947240711,"✨ Khám phá khả năng dưỡng da vượt trội từ sản phẩm kem nền Teint Idôle Ultra Wear, chứa đến 81% Hyal...",https://m.tiktok.com/v/7395448059947240711.html?_d=0&comment_author_id=6567726798266826754&ec_shared_reflux_dynamic_params=%7B%22placeholder_material_id%22%3A%227395448059947240711%22%2C%22placeholder_origin_cover%22%3A%22https%253A%252F%252Fp16-common-sign-sg.tiktokcdn-us.com%252Ftos-alisg-p-0037%252F9ccf17b8de1a4365ad9efee75bdf3631_1721886938~tplv-tiktokx-origin.jpeg%253Fdr%253D9633%2526refresh_token%253D480e93ed%2526x-expires%253D1787738400%2526x-signature%253DSK%25252FVbCWk4VwWFD6RgLdlrLGCSUU%25253D%2526t%253D4d5b0474%2526ps%253D13740610%2526shp%253Dd05b14bd%2526shcp%253D34ff8df6%2526idc%253Duseast5%2526s%253DTIKTOK_COMMENT_PLATFORM_AWEME%22%2C%22placeholder_product_id%22%3A%221730411101553265362%22%2C%22placeholder_video_id%22%3A%227395448059947240711%22%7D&ec_shared_reflux_scene=shop_tab_feed&preview_pb=0&share_comment_id=7500530788283548423&share_item_id=7395448059947240711&sharer_language=en&source=h5_m&u_code=0,#Lancome|#LancomeVN|#TeintIdoleUltraWear|#TIUW|#24HBenMauToaSang,1,lanntyb77,Bánh Đa Cua,Hết BO-01 rồi à bạn ơi,2025-05-04T11:10:24,0,0
8,7397435171483421960,https://www.tiktok.com/@lancome_vietnam/video/7397435171483421960,Bạn có biết? RÉNERGIE H.C.F. Triple Serum có thể biến những điều không thể thành có thể:  ✨ Hơn 40 n...,https://m.tiktok.com/v/7397435171483421960.html?_d=0&comment_author_id=7375494344520565761&ec_shared_reflux_dynamic_params=%7B%22placeholder_material_id%22%3A%227397435171483421960%22%2C%22placeholder_origin_cover%22%3A%22https%253A%252F%252Fp16-common-sign-sg.tiktokcdn-us.com%252Ftos-alisg-p-0037%252F107ddc742b14433cb3725c0c20cf88c1_1722349597~tplv-tiktokx-origin.jpeg%253Fdr%253D9633%2526refresh_token%253D3a8a63ca%2526x-expires%253D1787738400%2526x-signature%253DE7XXwdcwJLQ%25252FcOANekcDkwaEadk%25253D%2526t%253D4d5b0474%2526ps%253D13740610%2526shp%253Dd05b14bd%2526shcp%253D34ff8df6%2526idc%253Duseast5%2526s%253DTIKTOK_COMMENT_PLATFORM_AWEME%22%2C%22placeholder_product_id%22%3A%221730261769880636114%22%2C%22placeholder_video_id%22%3A%227397435171483421960%22%7D&ec_shared_reflux_scene=shop_tab_feed&preview_pb=0&share_comment_id=7404013938382504720&share_item_id=7397435171483421960&sharer_language=en&source=h5_m&u_code=0,#lancomevietnam|#RenergieHCF|#Skincare|#RenergieSerum,2,caubamyphamstore,Cậu Ba Mỹ Phẩm Store,👍,2024-08-17T08:55:38,0,0
9,7397774461677686034,https://www.tiktok.com/@lancome_vietnam/video/7397774461677686034,"Đánh thức vẻ đẹp săn chắc, rạng rỡ của bạn với serum Rénergie 3 lõi Triple HPN. Chỉ với 3 lần pump k...",https://m.tiktok.com/v/7397774461677686034.html?_d=0&comment_author_id=6622799571771375617&ec_shared_reflux_dynamic_params=%7B%22placeholder_material_id%22%3A%227397774461677686034%22%2C%22placeholder_origin_cover%22%3A%22https%253A%252F%252Fp16-common-sign-sg.tiktokcdn-us.com%252Ftos-alisg-p-0037%252F2e09185782954c43b343127b9f399743_1722428595~tplv-tiktokx-origin.jpeg%253Fdr%253D9633%2526refresh_token%253D32e41d45%2526x-expires%253D1787738400%2526x-signature%253DsW2O83hWewk9rSKschR9aAPWMaU%25253D%2526t%253D4d5b0474%2526ps%253D13740610%2526shp%253Dd05b14bd%2526shcp%253D34ff8df6%2526idc%253Duseast5%2526s%253DTIKTOK_COMMENT_PLATFORM_AWEME%22%2C%22placeholder_product_id%22%3A%221730261769880636114%22%2C%22placeholder_video_id%22%3A%227397774461677686034%22%7D&ec_shared_reflux_scene=shop_tab_feed&preview_pb=0&share_comment_id=7502730464529859345&share_item_id=7397774461677686034&sharer_language=en&source=h5_m&u_code=0,#RenergieHCF|#Skincare|#RenergieSerum,1,hoaithu.24290,T',Xin hỏi nồng độ của 3 loại hoạt chất đó,2025-05-10T09:26:20,0,0
10,7397775412736118034,https://www.tiktok.com/@lancome_vietnam/video/7397775412736118034,,,,0,,,,,0,0
